Name	ConceptType	#Genes	Coeff	OddsRatio	P-Value	FDR	Direction	SigGenes
hsa-miR-299-5p	miRBase	549	0.023526771210175757	1.1574388345868531	0.5329346261130761	0.9068603156925434	up	326,  667,  825,  1187,  1562,  2173,  3626,  4356,  4908,  5047,  5688,  6354,  6519,  6554,  6696,  7106,  7270,  7596,  8614,  8777,  9581,  10147,  10579,  10738,  11104,  22807,  23165,  25957,  26260,  27440,  55286,  63827,  79442,  80319,  84295,  121355,  128346,  136541,  222826,  374955,  375307
hsa-miR-520g	miRBase	452	-0.02688797815766334	0.8461164790095649	0.533831918752866	0.9068603156925434	down	356,  722,  1081,  1650,  1716,  2191,  3292,  3906,  3950,  4622,  5925,  8600,  8942,  9918,  10979,  27097,  27440,  51548,  55601,  55897,  64425,  79089,  79092,  80255,  84946,  85438,  117608,  127495,  146802,  220042
mmu-miR-541	miRBase	476	0.02506067654351052	1.1685250159860543	0.5345377670010563	0.9068603156925434	up	417,  735,  1109,  1301,  1571,  1944,  2173,  2796,  3713,  3906,  5365,  6582,  6700,  9134,  9270,  9785,  9918,  10579,  23646,  29997,  50700,  55094,  55425,  55796,  56942,  57716,  63827,  79701,  83733,  83998,  89886,  115294,  122769,  132724,  154075,  160065,  221223,  222826,  353288
hsa-miR-302c	miRBase	639	-0.02236445815859039	0.8702399134270378	0.5394017596422649	0.9074898255763942	down	326,  486,  667,  686,  727,  1081,  1232,  2835,  3292,  3293,  3567,  3596,  3851,  6519,  7103,  8431,  8483,  9581,  9712,  25960,  29765,  55340,  55796,  56547,  64175,  64425,  80255,  80854,  84292,  84648,  84707,  84946,  85438,  115294,  115330,  129807,  163479,  171558,  220042,  319100,  353145
hsa-miR-553	miRBase	482	0.02452370994667647	1.1646321038259881	0.5410821076510168	0.9074898255763942	up	744,  1198,  1358,  1571,  3164,  3442,  3884,  4114,  4312,  4908,  5001,  5521,  5917,  7103,  7141,  7363,  7541,  8341,  8942,  9044,  9502,  9897,  10363,  10640,  27134,  50624,  50814,  50939,  51430,  54726,  55998,  57062,  63036,  63827,  84946,  124923,  140881,  154075,  166378,  220042,  285754
hsa-miR-370	miRBase	476	-0.025635678765104905	0.8527271131974207	0.5426094627791764	0.9074898255763942	down	495,  640,  683,  1473,  2128,  2138,  2242,  5001,  5365,  6567,  7045,  7141,  9099,  9633,  9785,  10046,  10469,  22901,  26260,  57062,  60343,  84310,  84707,  84891,  89886,  92579,  123904,  124912,  144501,  148870,  148979,  200634,  283298,  286464,  339976,  389376
hsa-miR-10b	miRBase	477	0.024465810694465795	1.1642131199336145	0.5440784240982519	0.9074898255763942	up	301,  312,  356,  495,  2309,  3442,  3586,  4358,  4982,  5001,  5365,  5624,  6554,  7047,  7392,  8326,  9113,  9427,  9452,  9918,  10771,  23507,  23562,  23632,  24148,  25789,  51534,  51601,  54856,  54910,  55716,  79020,  79648,  83723,  84310,  85417,  114132,  129807,  137735,  158521
hsa-miR-376a	miRBase	572	0.022433520841488978	1.1496017065996673	0.5446707172310993	0.9074898255763942	up	258,  667,  1081,  1109,  1298,  1314,  2186,  2191,  2444,  2694,  2853,  2876,  4225,  5001,  5015,  5475,  5624,  6519,  6554,  7169,  7388,  8237,  8600,  9785,  10565,  23165,  23582,  25789,  50939,  51703,  55094,  55897,  57829,  63895,  79701,  79868,  84930,  85417,  90523,  90957,  126969,  129804,  146802,  151887,  192666,  202865,  221223,  245938,  286464,  340596,  342574,  374454,  374955
hsa-miR-154	miRBase	489	0.024122669052393034	1.1617330913927206	0.5450759820229516	0.9074898255763942	up	301,  2845,  3273,  4114,  4133,  5047,  5897,  6627,  6894,  8483,  8732,  8743,  9896,  9918,  9971,  10283,  10738,  10771,  10894,  11272,  23632,  25852,  29798,  51106,  56923,  56942,  57094,  57179,  79020,  79959,  81888,  83551,  84936,  129804,  148581,  199974,  219844,  353288,  374955
hsa-miR-516-5p	miRBase	549	0.022809857952444307	1.15229352745377	0.5457306787537771	0.9074898255763942	up	416,  735,  744,  790,  1203,  1486,  2661,  2820,  3043,  3158,  3950,  4481,  6094,  6123,  6360,  6568,  6894,  8106,  8318,  9270,  9581,  9897,  10507,  10566,  24137,  27440,  29930,  51442,  54726,  57047,  63827,  64222,  79739,  81285,  81696,  90990,  113828,  122769,  135927,  166378,  192666,  220042,  253982,  283234,  338323
L-Aspartic Acid	Drug Bank	20	-0.12590244073991513	0.4572914579374485	0.5477913128240885	0.8241380009526814	down	790
Tositumomab	Drug Bank	10	0.13447557578470512	2.3064579720223533	0.5494253339684543	0.8241380009526814	up	715
mmu-miR-665	miRBase	385	0.02663757304942807	1.180032614137608	0.5506853621251553	0.9099409861021438	up	495,  1118,  1856,  3164,  3283,  3851,  3906,  4656,  4815,  4843,  5047,  5284,  7106,  8431,  8747,  9283,  9785,  11012,  23187,  29930,  51561,  54910,  56654,  56729,  64943,  80201,  84292,  84734,  114132,  135927,  154075,  256472,  283234
hsa-miR-181a*	miRBase	440	0.024946180549515928	1.1676938504037706	0.5516898133999057	0.9099409861021438	up	301,  312,  831,  1298,  1308,  1650,  1769,  2661,  3884,  3906,  4281,  5688,  6407,  6779,  7869,  8431,  8856,  10089,  10350,  11081,  23049,  23582,  51705,  57094,  78987,  79921,  89845,  128346,  140856,  202865,  222659,  245938,  253982,  280658,  340596,  353140
hsa-miR-576	miRBase	426	0.02531976195322307	1.1704079903022473	0.5518551806684211	0.9099409861021438	up	161,  515,  585,  683,  686,  952,  1650,  1733,  2173,  2793,  2984,  3273,  3567,  3792,  4114,  4225,  5334,  5545,  5701,  6094,  6857,  7363,  8777,  8809,  8914,  9153,  9325,  9635,  25791,  50624,  51430,  51666,  55285,  56986,  60592,  79948,  79949,  81558,  84102,  84693,  126969,  129807,  154075,  157807,  192666,  388646
