EntrezID	p.value	HPV+/HPV-
8613	0.022386774	-6.99
51157	0.022416147	-2.39
NA	0.022417581	1.40
55183	0.022419164	2.32
115749	0.022427282	-6.06
84552	0.022429295	4.18
NA	0.022614069	1.47
26740	0.02267976	-1.26
3635	0.022721295	7.43
NA	0.022754684	-2.14
114299	0.022794087	7.12
729121	0.022815246	1.30
NA	0.022818819	2.21
8436	0.022823943	-3.40
137994	0.022904563	5.82
55617	0.022916694	1.72
339942	0.022922792	-1.41
9889	0.022951527	1.41
4815	0.022957491	2.71
10521	0.022968064	-2.21
NA	0.022969571	2.43
22898	0.022973638	2.63
55186	0.023043405	1.58
NA	0.023052332	1.48
83737	0.023078283	2.56
NA	0.023081829	-1.30
55608	0.023096571	1.25
64849	0.023100423	2.94
5074	0.023143342	2.55
4070	0.023157491	1.60
253260	0.023174692	2.55
80022	0.023187586	-1.55
440087	0.023195926	1.25
7091	0.023270986	-1.48
7429	0.023288818	-1.36
NA	0.023310931	-2.92
5265	0.023324173	3.44
85464	0.023325406	2.08
NA	0.023338727	-1.24
57569	0.023357515	1.69
11075	0.023488884	-1.32
79819	0.023514461	-1.37
NA	0.02354796	-1.25
NA	0.02361068	-2.36
9848	0.023633945	-1.54
7582	0.023646447	1.50
115207	0.023667808	7.14
84864	0.023667955	-1.60
894	0.023707242	52.37
374918	0.023712074	2.52
27332	0.023718167	1.69
NA	0.02372751	-2.07
53344	0.023730987	-2.41
5286	0.023736431	1.25
81929	0.02373944	2.57
23080	0.02374397	-1.66
10570	0.02376396	-1.46
10404	0.023766754	-3.98
NA	0.023781957	1.55
NA	0.023788792	-1.40
9457	0.023789216	1.25
344018	0.023791395	-1.21
10912	0.02381023	-1.63
NA	0.023812402	1.97
91351	0.02382412	-2.43
196951	0.023827974	-2.05
1993	0.023892022	4.21
284600	0.023900549	-1.51
NA	0.023922352	1.38
3655	0.023946785	7.79
51390	0.02395114	1.52
NA	0.023956345	1.66
7084	0.024051017	-2.26
84953	0.024054662	1.89
79819	0.024058876	-1.80
5046	0.024093803	1.36
NA	0.024110967	-2.33
NA	0.024133225	-1.40
400654	0.024154589	1.25
NA	0.024156312	-1.35
27436	0.024204494	1.65
142910	0.024210177	-1.34
NA	0.024228324	1.41
3635	0.02422839	1.23
NA	0.024239864	1.29
NA	0.024265302	-1.25
1656	0.024297276	-1.34
226	0.024311348	-1.60
NA	0.024337019	-1.48
440193	0.024346484	2.10
158381	0.024375569	-1.22
NA	0.024449369	-1.20
148137	0.024464581	2.10
6822	0.024488383	-1.24
6035	0.024496678	-2.46
22915	0.024496877	-1.23
NA	0.024514899	-1.87
NA	0.024538995	5.58
1573	0.0245705	3.84
3708	0.024573429	-1.36
389874	0.024573589	-1.35
2015	0.024577658	-16.98
23354	0.024580416	2.25
55268	0.024601268	-1.96
3077	0.024627766	-2.85
NA	0.024628406	-2.67
374875	0.024641133	-1.79
NA	0.024650452	1.40
23508	0.024661369	2.09
NA	0.02470063	-1.41
131450	0.024709709	1.37
58508	0.024709933	-1.34
NA	0.024728864	-1.37
NA	0.024731962	-1.19
8842	0.024735809	-1.26
57158	0.024761417	2.08
2119	0.024800513	-4.99
NA	0.024819604	-1.24
81706	0.024878883	17.50
6303	0.024890581	2.94
8932	0.024897271	-1.20
54542	0.024906456	2.35
57616	0.024907526	-6.60
NA	0.024919941	-1.31
NA	0.024990973	-1.38
8996	0.025048648	-2.93
NA	0.025079633	-1.42
51501	0.02510281	2.18
57478	0.025110358	3.61
9315	0.025112	-9.10
NA	0.025124157	-3.80
26074	0.025146309	-1.24
257397	0.02519697	1.36
9468	0.025206596	-1.69
51199	0.025234775	1.65
2539	0.025242909	-4.71
NA	0.025300148	1.88
100128782	0.025313883	-1.66
10447	0.025315056	1.28
NA	0.025334435	-1.57
202134	0.025396983	1.26
5783	0.025410119	2.49
NA	0.025421739	-1.26
3141	0.025459306	-1.71
3204	0.025460928	2.92
9935	0.025471893	-3.85
NA	0.025512921	-2.31
NA	0.025520123	-1.32
NA	0.025557068	-5.67
79993	0.025583229	6.90
